# ----------------------------------------
# All Web Site Data
# Export Metrics (Filter U.S.A.)
# 20150101-20170719
# ----------------------------------------

Year,Country,Page Title,Pageviews
2016,United Kingdom,"A Journey - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",32
2016,United Kingdom,Amanda's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,United Kingdom,Ann's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,United Kingdom,Hello Kitty Shoes - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,United Kingdom,I WANT - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,United Kingdom,Sarah's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,United Kingdom,The Girl Inside The Box (continued) - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,United Kingdom,When Death Comes A-Knocking - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,United Kingdom,Wild Sunset - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Greece,Anna's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Greece,Dora's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Hong Kong,Bitter ice - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Ireland,"Assignment 5: Narrative Experimentation, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",32
2016,Israel,Meg One Percent - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Israel,"MOSHE's Home | Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",32
2016,Israel,"Pack One, Sir? - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",32
2016,India,"Assignment 3: Cast and Plot, Description - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",32
2016,India,The Recruit - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Italy,Sergio's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Jordan,Lamia - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Jordan,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster - Sign In | NovoEd",32
2016,South Korea,Jae's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,New Zealand,"Class 1 Writing Assignment (recommended due date), My Submission - #Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd",32
2016,New Zealand,"Gallipoli - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",32
2016,New Zealand,"Hiroshima - a response - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",32
2016,Philippines,"Assignment 2: Desire and Point of View, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",32
2016,Pakistan,What Mariam wants - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Portugal,Assignments - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,32
2016,Thailand,"Assignment 2: Desire and Point of View, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",32
2017,Angola,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,32
2017,Fiji,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,32
2017,Georgia,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | The University of Iowa | NovoEd,32
2017,Myanmar (Burma),NovoEd,32
2017,Russia,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,32
2017,Sweden,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,32
2015,United Arab Emirates,kathleen's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Argentina,"Class Session 1 Assignment: Starting with Character, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Austria,the stain (content warning) - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Australia,Theresa's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Australia,"WW Day 2 Writing Practice - An Object of Wonder, Description - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Brazil,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Brazil,Paulo's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Brazil,"WW Day 2 Writing Practice - An Object of Wonder, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Canada,Dave's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Germany,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, Description - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,France,Evaluations for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,France,Evaluations for Class Session 2 Assignment: Expanding on Character: Cast and Dialogue - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,United Kingdom,Amuse Bouche - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,United Kingdom,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, Criteria and Rubrics - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,India,STEWED CABBAGE AND STALE FISH - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Italy,"Class Session 1 Assignment: Starting with Character, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Malaysia,"Class Session 7 Assignment: Embracing Revision, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Malaysia,"Class Session 7 Assignment: Embracing Revision, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Malaysia,New Evaluation for Class Session 5 Assignment: Voice and Setting - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Nigeria,Chukwube 's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Netherlands,New Evaluation for Class Session 4 Assignment: Using Character to Produce Frame and Arc - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Nepal,New Evaluation for Class Session 4 Assignment: Using Character to Produce Frame and Arc - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Philippines,New Evaluation for Class Session 7 Assignment: Embracing Revision - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Poland,Killing Arthur - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Qatar,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Singapore,"Class Session 3 Assignment: Working with Plot, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Singapore,"Class Session 6 Assignment: Immersion in Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,Singapore,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Turkey,Kelly's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2015,Ukraine,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",31
2015,South Africa,​Catching a real live mermaid - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2016,United Arab Emirates,"Assignment 1: Voice and Identity, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",31
2016,Australia,Dayle's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Australia,Deborah's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Australia,Jane's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Australia,Scarlett's shape - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Australia,The Trees Wept - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Australia,Way better than a kitten! - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Bolivia,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",31
2016,Brazil,Andréa's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Brazil,How Writers Write Fiction 2016: Storied Women - Sign In | NovoEd,31
2016,Canada,Jean's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Canada,Laura's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Canada,The wedding on the island - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Germany,"Assignments - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",31
2016,Germany,"Johanna's Home | Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",31
2016,Germany,Suad's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Egypt,Weapons at Breakfast - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Spain,"Assignment 5: Narrative Experimentation, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",31
2016,France,Avis's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,France,How Writers Write Fiction 2015 - Sign In | NovoEd,31
2016,France,I hate blackberries - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,United Kingdom,Marta - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,United Kingdom,SAUNA BABA: Best Kept Secret - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,United Kingdom,Symmetry - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,United Kingdom,The Little Castle - The Marriage Contract - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,United Kingdom,"The Lucky Ones - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",31
2016,Greece,Agatha's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Croatia,Zr306's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Israel,"Assignment 5: Narrative Experimentation, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",31
2016,Israel,Boaz's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,India,"Class 2 Assignment, My Submission - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",31
2016,Italy,Jeanne and Andre - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Italy,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster - Sign Up | NovoEd",31
2016,Morocco,The Girl Inside The Box (continued) - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Nigeria,"Assignment 3: Cast and Plot, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",31
2016,Nigeria,Zaharaddeen's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Netherlands,Geraldine's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,New Zealand, - #Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,31
2016,Peru,"Assignment 2: Desire and Point of View, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",31
2016,Philippines,"You are enrolled! - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",31
2016,Pakistan,STRANGERS IN THE HOUSE - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Russia,What am I doing here? - #Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,31
2016,Singapore,"Zainab's Home | Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",31
2016,Thailand,Sylvia - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,Turkey,Homeless Poet Selling Poems for a Pound - #Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,31
2016,South Africa,"Assignment 1: Voice and Identity, Description - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",31
2016,South Africa,Pamela's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2016,South Africa,​Splitting Hairs - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2017,Australia,Sita's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2017,Colombia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,31
2017,Spain,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",31
2017,Portugal,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,31
2017,Romania,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,31
2017,Serbia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,31
2017,Sweden,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,31
2015,Australia,Michaela 's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Australia,"THE HAMLET CAST PARTY, REMEMBERED - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,Brazil,Sofia's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Canada,Beppe's Kitchen - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Canada,No Aspersions Intended - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Switzerland,New Evaluation for Class Session 3 Assignment: Working with Plot - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Egypt,"Class Session 6 Assignment: Immersion in Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,Spain,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,United Kingdom,Rebecca's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,United Kingdom,The Pickets' Reunion (version 2) - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Guyana,"Class Session 1 Assignment: Starting with Character, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,Honduras,James's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,India,Vrinda's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Italy,Eva's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Liechtenstein,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Nigeria,Evaluations for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Netherlands,"Class Session 7 Assignment: Embracing Revision, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,Netherlands,New Evaluation for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Nepal,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,Nepal,"Class Session 6 Assignment: Immersion in Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,New Zealand,Afternoon Tea - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,New Zealand,Emma's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,New Zealand,Rosemary's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Philippines,"Class Session 6 Assignment: Immersion in Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,Russia,Alexander's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Russia,New Evaluation for Class Session 3 Assignment: Working with Plot - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Chad,How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Thailand,76 Words About El Chorrillo December 1989 - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Thailand,Evaluations for Class Session 3 Assignment: Working with Plot - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2015,Turkey,"Class Session 6 Assignment: Immersion in Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,Venezuela,"Class Session 6 Assignment: Immersion in Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2015,South Africa,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",30
2016,Australia,"Edit Report - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",30
2016,Australia,Lindy's Home | #Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,30
2016,Australia,"Self immolation - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",30
2016,Bangladesh,"Class 2 Writing Assignment (recommended due date), My Submission - #Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd",30
2016,Bahrain,"Shades of orange, when the clock's work's done - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",30
2016,Canada,A Separate Self - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Canada,Excerpt from - Siegebreakers - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Canada,Holidays Mean Trouble - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Canada,Rachel's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Canada,Roses - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Switzerland,Alice's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,China,Voyeur - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,China,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",30
2016,Germany,Adriana's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Germany,Beate's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,30
2016,Estonia,"Vision For the Future - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",30
2016,Estonia,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster - Sign In | NovoEd",30
2016,Spain,Edit Report - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,France,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster - Sign Up | NovoEd",30
2016,United Kingdom,Elizabeth's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,United Kingdom,Marion's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,United Kingdom,Placenta [working title] - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,United Kingdom,The Forgotten Mantillas - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,United Kingdom,Victor - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Israel,"Class 2 Assignment, My Submission - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",30
2016,Israel,"Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster - Sign In | NovoEd",30
2016,Iran,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Jordan,Living Arrows - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Japan,Edit Report - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Liberia,How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Morocco,Abla's Home | #Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd,30
2016,Mexico,"Love, Marriage and the Neighbor's Stable Boy (Content Warning) - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",30
2016,Mexico,Patricia's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,New Zealand,"Class 3 Writing Assignment (recommended due date), My Submission - #Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd",30
2016,New Zealand,"Class 4 Writing Assignment (recommended due date), My Submission - #Flashwrite Teen Poetry MOOC | The University of Iowa | NovoEd",30
2016,New Zealand,"Genealogies (at 3am) - Whitman's Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",30
2016,New Zealand,Natalie's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Peru,Lighthouse - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Pakistan,“Consequences of an impetuous decision” - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Pakistan,STRANGERS IN THE HOUSE (2) - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Serbia,"Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",30
2016,Sweden,"Assignment 5: Narrative Experimentation, My Submission - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd",30
2016,Singapore,You are enrolled! - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Somalia,Samia's Home | How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,Thailand,"Assignments - Whitman’s Civil War: Writing and Imaging Loss, Death, and Disaster | The University of Iowa | NovoEd",30
2016,Turkey,Edit Report - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,South Africa,Saturation [trigger warning for pornography and sexual violence] - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2016,South Africa,You are enrolled! - How Writers Write Fiction 2016: Storied Women | The University of Iowa | NovoEd,30
2017,Brunei,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,30
2017,Belarus,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,30
2017,Belize,Power of the Pen: Identities and Social Issues in Fiction and Nonfiction | NovoEd,30
2017,Iran,Power of the Pen: Identities and Social Issues in Poetry and Plays | The University of Iowa | NovoEd,30
2017,Namibia,Power of the Pen: Identities and Social Issues in Poetry and Plays | NovoEd,30
2015,Austria,Fenrir (content warning: strong language) - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Australia,"Class Session 1 Assignment: Starting with Character, Criteria and Rubrics - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Australia,Only A Bunch Of Photos. - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Brazil,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Description - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Brazil,"Class Session 6 Assignment: Immersion in Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Brazil,New Evaluation for Class Session 6 Assignment: Immersion in Setting - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Canada,Blue and Yellow (Content warning) - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Canada,Master of the Universe - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Canada,Missing (Content Warning: Language) - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Canada,Session 1: Starting with Character -- Introducing Ivan - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Switzerland,"Class Session 5 Assignment: Voice and Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Switzerland,Edit Report - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Germany,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Description - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Denmark,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Egypt,New Evaluation for Class Session 5 Assignment: Voice and Setting - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,France,"Class Session 2 Assignment: Expanding on Character: Cast and Dialogue, Description - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,France,Meeting Hilde - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,United Kingdom,Sharon's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Greece,Andigoni's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Greece,"Class Session 5 Assignment: Voice and Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Guyana,"Class Session 1 Assignment: Starting with Character, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Hong Kong,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Hong Kong,"Class Session 5 Assignment: Voice and Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Ireland,"Class Session 6 Assignment: Immersion in Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Iraq,Visiting a Village - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,St. Kitts & Nevis,Assignments - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Malaysia,"Class Session 6 Assignment: Immersion in Setting, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Malaysia,"Class Session 6 Assignment: Immersion in Setting, My Submission - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Nigeria,New Evaluation for Class Session 7 Assignment: Embracing Revision - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Netherlands,"Class Session 4 Assignment: Using Character to Produce Frame and Arc, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,New Zealand,Evaluations for Class Session 7 Assignment: Embracing Revision - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Russia,"Class Session 1 Assignment: Starting with Character, Received Evaluations - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Sweden,New Evaluation for Class Session 7 Assignment: Embracing Revision - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Sweden,Written on the body - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Singapore,"Class Session 7 Assignment: Embracing Revision, Evaluate Submissions - How Writers Write Fiction 2015 | The University of Iowa | NovoEd",28
2015,Singapore,Evaluations for Class Session 1 Assignment: Starting with Character - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Singapore,New Evaluation for Class Session 6 Assignment: Immersion in Setting - How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
2015,Thailand,Bronwyn's Home | How Writers Write Fiction 2015 | The University of Iowa | NovoEd,28
